Product_name,Ratings,Reviews,stars,Current_Price,MRP,Processor,RAM,Storage,Image_URL
ASUS ROG Strix G15 Core i5 10th Gen,847,118,4.5,₹82990,₹107990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB SSD,https://rukminim1.flixcart.com/image/312/312/kcp4osw0/computer/t/f/z/asus-na-original-imaftrgwna6snfn8.jpeg?q=70
acer Aspire Vero(Green PC ) Core i5 11th Gen,1,1,5,₹60990,₹65000,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kyt0ya80/computer/c/3/k/-original-imagayazehw3hcgz.jpeg?q=70
ASUS Ryzen 7 Octa Core 4th Gen,0,0,0,₹80499,₹96990,AMD Ryzen 7 Octa Core Processor (4th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kubk70w0/computer/o/6/0/g513ih-hn081t-gaming-laptop-asus-original-imag7hyw73g4taqh.jpeg?q=70
Lenovo ThinkBook 13s Core i5 11th Gen,119,13,4.3,₹64990,₹120708,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/ktop5e80/computer/x/k/g/thinkbook-13s-thin-and-light-laptop-lenovo-original-imag6zepnbxrwmaf.jpeg?q=70
Lenovo Yoga Slim 7 Core i5 10th Gen,21,3,4,₹64990,₹113290,Intel Core i5 Processor (10th Gen),8 GB LPDDR4X RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kdyus280/computer/v/f/k/lenovo-na-thin-and-light-laptop-original-imafuqwpgzhytd5c.jpeg?q=70
acer Intel EVO Swift 3 Core i5 11th Gen,24,2,4.5,₹60990,₹89999,Intel Core i5 Processor (11th Gen),8 GB LPDDR4X RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kykgb680/computer/w/j/r/-original-imagarytsqkmvmx6.jpeg?q=70
ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core 6800H,0,0,0,₹114990,₹145990,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,1 TB SSD,https://rukminim1.flixcart.com/image/312/312/l0vbukw0/computer/8/e/j/-original-imagckcffymgykfd.jpeg?q=70
Lenovo Core i7 11th Gen,0,0,0,₹74990,₹120190,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kyhlfgw0/computer/9/0/n/ideapad-5-pro-laptop-lenovo-original-imagapc3exyc96eu.jpeg?q=70
ASUS ASUS TUF Gaming Core i7 11th Gen,143,19,4.5,₹94990,₹101990,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/computer/n/p/z/-original-imagetjf9pgwyyp9.jpeg?q=70
acer Aspire 5 Core i5 11th Gen,214,23,4.2,₹49990,₹75999,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kruyw7k0/computer/b/6/w/aspire-5-thin-and-light-laptop-acer-original-imag5k3stszyggb3.jpeg?q=70
ASUS Core i7 10th Gen,10,0,4.6,₹224990,₹272990,Intel Core i7 Processor (10th Gen),32 GB DDR4 RAM,1 TB SSD,https://rukminim1.flixcart.com/image/312/312/ktn9pjk0/computer/b/m/o/na-gaming-laptop-asus-original-imag6xzyryhh82ff.jpeg?q=70
ASUS ROG Flow X13 Ryzen 9 Octa Core 5900HS,15,1,4.7,₹114990,₹181990,AMD Ryzen 9 Octa Core Processor,16 GB LPDDR4X RAM,1 TB SSD,https://rukminim1.flixcart.com/image/312/312/koixwnk0/computer/b/i/z/na-gaming-laptop-asus-original-imag2ygghykjhv95.jpeg?q=70
MSI Katana GF66 Core i5 11th Gen,134,26,4.5,₹76990,₹106990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kt1u3rk0/computer/v/x/u/katana-gf66-11ud-thin-and-light-laptop-msi-original-imag6hgucfpqacvt.jpeg?q=70
acer Aspire 5 Core i5 11th Gen,60,3,4.4,₹49990,₹69999,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kruyw7k0/computer/b/6/w/aspire-5-thin-and-light-laptop-acer-original-imag5k3stszyggb3.jpeg?q=70
DELL Inspiron Core i5 11th Gen,47,5,4.1,₹55740,₹60078,Intel Core i5 Processor (11th Gen),4 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/ku5ufm80/computer/b/d/a/na-laptop-dell-original-imag7cstg8ebs8gd.jpeg?q=70
ASUS Vivobook 17 Core i5 11th Gen,7,2,3.7,₹57490,₹85990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/ky90scw0/computer/i/z/s/vivobook-17-laptop-asus-original-imagajf3z3gf3b8s.jpeg?q=70
MSI Creator Z16 Core i9 11th Gen,0,0,0,₹199990,₹257990,Intel Core i9 Processor (11th Gen),16 GB DDR4 RAM,1 TB SSD,https://rukminim1.flixcart.com/image/312/312/kv8fbm80/computer/j/q/f/creator-z16-a11uet-gaming-laptop-msi-original-imag86cy5qbteaww.jpeg?q=70
acer Intel EVO Swift 3 Core i5 11th Gen,24,2,4.5,₹60990,₹89999,Intel Core i5 Processor (11th Gen),8 GB LPDDR4X RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kykgb680/computer/w/j/r/-original-imagarytsqkmvmx6.jpeg?q=70
MSI Bravo Ryzen 5 Hexa Core 5600H,565,98,4.5,₹61490,₹83990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/ktszgy80/computer/h/5/y/na-gaming-laptop-msi-original-imag72h6handbjdh.jpeg?q=70
